"Route","Screen","BusinessTypeGuard","RoleGuard","Status","ReachableFrom"
"/insights","InsightsScreen","All","viewAnalytics","Active","Deep Link / Direct Navigation"
"/bill_template","BillTemplateDesignerScreen","All","systemSettings","Active","Deep Link / Direct Navigation"
"/alerts","AlertsScreen","All","viewAnalytics","Active","Deep Link / Direct Navigation"
"/app_management","AppManagementScreen","All","systemSettings","Active","Deep Link / Direct Navigation"
"/inventory","InventoryDashboardScreen","All","viewInvoices","Active","shortcut_definitions, concrete_strategies, hardware_ops_repository"
"/delivery_challans","DeliveryChallanListScreen","All","viewInvoices","Active","hardware_command_center_screen"
"/proforma","ProformaScreen","All","createInvoices","Active","customer_detail_screen, hardware_command_center_screen, sale_home_screen"
"/hardware/operations","Builder","hardware","viewReports","Active","hardware_command_center_screen"
"/hardware/credit-control","BusinessGuard","hardware","viewReports","Active","hardware_command_center_screen"
"/hardware/fast-billing","BusinessGuard","hardware","createInvoices","Active","hardware_command_center_screen"
"/hardware/invoice-profiles","BusinessGuard","hardware","systemSettings","Active","hardware_phase12_contracts, hardware_ops_repository, hardware_command_center_screen"
"/analytics","AnalyticsDashboardScreen","All","viewAnalytics","Active","hardware_command_center_screen"
"/backup","BackupScreen","All","exportReports","Active","shortcut_definitions, global_keyboard_handler"
"/gst-reports","GstReportsScreen","All","viewReports","Active","hardware_command_center_screen, tax_report_screen"
"/daybook","DayBookScreen","All","viewReports","Active","shortcut_definitions, global_keyboard_handler"
