"Project","Feature","RelativePath","FileName","ClassName","BaseClass"
"Dukan_x","pre_order","G:\desktop app genuine\Dukan_x\lib\features\pre_order\presentation\customer\vendor_catalog_screen.dart","vendor_catalog_screen.dart","StockBadge","StatelessWidget"
"Dukan_x","pre_order","G:\desktop app genuine\Dukan_x\lib\features\pre_order\presentation\customer\vendor_catalog_screen.dart","vendor_catalog_screen.dart","SnapshotProductCard","StatelessWidget"
"Dukan_x","pre_order","G:\desktop app genuine\Dukan_x\lib\features\pre_order\presentation\customer\vendor_catalog_screen.dart","vendor_catalog_screen.dart","VendorCatalogScreen","StatefulWidget"
"Dukan_x","pre_order","G:\desktop app genuine\Dukan_x\lib\features\pre_order\presentation\vendor\vendor_requests_screen.dart","vendor_requests_screen.dart","VendorRequestsScreen","StatelessWidget"
"Dukan_x","pre_order","G:\desktop app genuine\Dukan_x\lib\features\pre_order\presentation\vendor\vendor_request_detail_screen.dart","vendor_request_detail_screen.dart","VendorRequestDetailScreen","StatefulWidget"
"Dukan_x","profile","G:\desktop app genuine\Dukan_x\lib\features\profile\screens\vendor_profile_screen.dart","vendor_profile_screen.dart","VendorProfileScreen","StatefulWidget"
"Dukan_x","purchase","G:\desktop app genuine\Dukan_x\lib\features\purchase\presentation\screens\purchase_entries_list_screen.dart","purchase_entries_list_screen.dart","PurchaseEntriesListScreen","ConsumerStatefulWidget"
"Dukan_x","purchase","G:\desktop app genuine\Dukan_x\lib\features\purchase\presentation\screens\scan_bill_image_picker_screen.dart","scan_bill_image_picker_screen.dart","ScanBillImagePickerScreen","ConsumerStatefulWidget"
"Dukan_x","purchase","G:\desktop app genuine\Dukan_x\lib\features\purchase\presentation\screens\scan_bill_processing_screen.dart","scan_bill_processing_screen.dart","ScanBillProcessingScreen","ConsumerStatefulWidget"
"Dukan_x","purchase","G:\desktop app genuine\Dukan_x\lib\features\purchase\presentation\screens\scan_bill_review_screen.dart","scan_bill_review_screen.dart","ScanBillReviewScreen","ConsumerStatefulWidget"
"Dukan_x","purchase","G:\desktop app genuine\Dukan_x\lib\features\purchase\presentation\screens\scan_bill_supplier_screen.dart","scan_bill_supplier_screen.dart","ScanBillSupplierScreen","ConsumerStatefulWidget"
"Dukan_x","purchase","G:\desktop app genuine\Dukan_x\lib\features\purchase\screens\add_purchase_screen.dart","add_purchase_screen.dart","AddPurchaseScreen","ConsumerStatefulWidget"
"Dukan_x","purchase","G:\desktop app genuine\Dukan_x\lib\features\purchase\screens\purchase_dashboard_screen.dart","purchase_dashboard_screen.dart","PurchaseDashboardScreen","ConsumerStatefulWidget"
"Dukan_x","purchase","G:\desktop app genuine\Dukan_x\lib\features\purchase\screens\purchase_detail_screen.dart","purchase_detail_screen.dart","PurchaseDetailScreen","StatelessWidget"
"Dukan_x","purchase","G:\desktop app genuine\Dukan_x\lib\features\purchase\screens\purchase_history_screen.dart","purchase_history_screen.dart","PurchaseHistoryScreen","ConsumerStatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\all_transactions_screen.dart","all_transactions_screen.dart","AllTransactionsScreen","ConsumerStatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\balance_screen.dart","balance_screen.dart","BalanceScreen","ConsumerStatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\bill_wise_profit_screen.dart","bill_wise_profit_screen.dart","BillWiseProfitScreen","ConsumerStatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\cashflow_screen.dart","cashflow_screen.dart","CashflowScreen","ConsumerStatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\commission_ledger_screen.dart","commission_ledger_screen.dart","CommissionLedgerScreen","StatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\discount_report_screen.dart","discount_report_screen.dart","DiscountReportScreen","StatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\expense_register_screen.dart","expense_register_screen.dart","ExpenseRegisterScreen","StatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\hallmark_register_screen.dart","hallmark_register_screen.dart","HallmarkRegisterScreen","StatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\job_card_report_screen.dart","job_card_report_screen.dart","JobCardReportScreen","StatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\low_stock_report_screen.dart","low_stock_report_screen.dart","LowStockReportScreen","StatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\old_gold_register_screen.dart","old_gold_register_screen.dart","OldGoldRegisterScreen","StatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\party_wise_pnl_screen.dart","party_wise_pnl_screen.dart","PartyWisePnlScreen","StatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\petty_cash_report_screen.dart","petty_cash_report_screen.dart","PettyCashReportScreen","StatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\pnl_screen.dart","pnl_screen.dart","PnlScreen","ConsumerStatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\print_menu_screen.dart","print_menu_screen.dart","PrintMenuScreen","ConsumerWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\product_performance_screen.dart","product_performance_screen.dart","ProductPerformanceScreen","ConsumerStatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\product_sales_breakdown_screen.dart","product_sales_breakdown_screen.dart","ProductSalesBreakdownScreen","ConsumerStatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\purchase_report_screen.dart","purchase_report_screen.dart","PurchaseReportScreen","ConsumerStatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\reports_hub_screen.dart","reports_hub_screen.dart","ReportsHubScreen","ConsumerWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\rma_report_screen.dart","rma_report_screen.dart","RmaReportScreen","StatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\salesman_report_screen.dart","salesman_report_screen.dart","SalesmanReportScreen","StatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\stock_summary_report_screen.dart","stock_summary_report_screen.dart","StockSummaryReportScreen","StatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\tally_export_screen.dart","tally_export_screen.dart","TallyExportScreen","StatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\tax_report_screen.dart","tax_report_screen.dart","TaxReportScreen","StatefulWidget"
"Dukan_x","reports","G:\desktop app genuine\Dukan_x\lib\features\reports\presentation\screens\trial_balance_screen.dart","trial_balance_screen.dart","TrialBalanceScreen","ConsumerStatefulWidget"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\floor_management_screen.dart","floor_management_screen.dart","FloorManagementScreen","StatefulWidget"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\food_menu_management_screen.dart","food_menu_management_screen.dart","FoodMenuManagementScreen","StatefulWidget"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\kitchen_display_screen.dart","kitchen_display_screen.dart","KitchenDisplayScreen","StatefulWidget"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\kot_report_screen.dart","kot_report_screen.dart","KotReportScreen","StatefulWidget"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\menu_item_management_screen.dart","menu_item_management_screen.dart","MenuItemManagementScreen","StatefulWidget"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\menu_item_management_screen.dart","menu_item_management_screen.dart","MenuItemDetailScreen","StatelessWidget"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\menu_item_management_screen.dart","menu_item_management_screen.dart","MenuItemEditScreen","StatelessWidget"
"Dukan_x","restaurant","G:\desktop app genuine\Dukan_x\lib\features\restaurant\presentation\screens\recipe_management_screen.dart","recipe_management_screen.dart","RecipeManagementScreen","StatefulWidget"
